"REF_AREA","INDICATOR","GENDER","AGE_CLASS","CITIZENSHIP","OBS_VALUE"
"034001","RESPOP_AV","F","TOTAL","FRGAPO","45"
"034001","RESPOP_AV","F","TOTAL","ITL","1003"
"034001","RESPOP_AV","F","TOTAL","TOTAL","1048"
"034001","RESPOP_AV","F","Y_GE100","ITL","3"
"034001","RESPOP_AV","F","Y_GE100","TOTAL","3"
"034001","RESPOP_AV","F","Y0-9","FRGAPO","2"
"034001","RESPOP_AV","F","Y0-9","ITL","66"
"034001","RESPOP_AV","F","Y0-9","TOTAL","68"
"034001","RESPOP_AV","F","Y10-19","FRGAPO","3"
"034001","RESPOP_AV","F","Y10-19","ITL","58"
"034001","RESPOP_AV","F","Y10-19","TOTAL","61"
"034001","RESPOP_AV","F","Y20-29","FRGAPO","5"
"034001","RESPOP_AV","F","Y20-29","ITL","69"
"034001","RESPOP_AV","F","Y20-29","TOTAL","74"
"034001","RESPOP_AV","F","Y30-39","FRGAPO","9"
"034001","RESPOP_AV","F","Y30-39","ITL","91"
"034001","RESPOP_AV","F","Y30-39","TOTAL","100"
"034001","RESPOP_AV","F","Y40-49","FRGAPO","8"
"034001","RESPOP_AV","F","Y40-49","ITL","119"
"034001","RESPOP_AV","F","Y40-49","TOTAL","127"
"034001","RESPOP_AV","F","Y50-59","FRGAPO","9"
"034001","RESPOP_AV","F","Y50-59","ITL","165"
"034001","RESPOP_AV","F","Y50-59","TOTAL","174"
"034001","RESPOP_AV","F","Y60-69","FRGAPO","7"
"034001","RESPOP_AV","F","Y60-69","ITL","144"
"034001","RESPOP_AV","F","Y60-69","TOTAL","151"
"034001","RESPOP_AV","F","Y70-79","FRGAPO","1"
"034001","RESPOP_AV","F","Y70-79","ITL","146"
"034001","RESPOP_AV","F","Y70-79","TOTAL","147"
"034001","RESPOP_AV","F","Y80-89","ITL","106"
"034001","RESPOP_AV","F","Y80-89","TOTAL","106"
"034001","RESPOP_AV","F","Y90-99","FRGAPO","1"
"034001","RESPOP_AV","F","Y90-99","ITL","36"
"034001","RESPOP_AV","F","Y90-99","TOTAL","37"
"034001","RESPOP_AV","M","TOTAL","FRGAPO","37"
"034001","RESPOP_AV","M","TOTAL","ITL","994"
"034001","RESPOP_AV","M","TOTAL","TOTAL","1031"
"034001","RESPOP_AV","M","Y0-9","FRGAPO","2"
"034001","RESPOP_AV","M","Y0-9","ITL","70"
"034001","RESPOP_AV","M","Y0-9","TOTAL","72"
"034001","RESPOP_AV","M","Y10-19","FRGAPO","5"
"034001","RESPOP_AV","M","Y10-19","ITL","75"
"034001","RESPOP_AV","M","Y10-19","TOTAL","80"
"034001","RESPOP_AV","M","Y20-29","FRGAPO","9"
"034001","RESPOP_AV","M","Y20-29","ITL","78"
"034001","RESPOP_AV","M","Y20-29","TOTAL","87"
"034001","RESPOP_AV","M","Y30-39","FRGAPO","9"
"034001","RESPOP_AV","M","Y30-39","ITL","94"
"034001","RESPOP_AV","M","Y30-39","TOTAL","103"
"034001","RESPOP_AV","M","Y40-49","FRGAPO","4"
"034001","RESPOP_AV","M","Y40-49","ITL","130"
"034001","RESPOP_AV","M","Y40-49","TOTAL","134"
"034001","RESPOP_AV","M","Y50-59","FRGAPO","1"
"034001","RESPOP_AV","M","Y50-59","ITL","169"
"034001","RESPOP_AV","M","Y50-59","TOTAL","170"
"034001","RESPOP_AV","M","Y60-69","FRGAPO","3"
"034001","RESPOP_AV","M","Y60-69","ITL","156"
"034001","RESPOP_AV","M","Y60-69","TOTAL","159"
"034001","RESPOP_AV","M","Y70-79","FRGAPO","4"
"034001","RESPOP_AV","M","Y70-79","ITL","142"
"034001","RESPOP_AV","M","Y70-79","TOTAL","146"
"034001","RESPOP_AV","M","Y80-89","ITL","74"
"034001","RESPOP_AV","M","Y80-89","TOTAL","74"
"034001","RESPOP_AV","M","Y90-99","ITL","6"
"034001","RESPOP_AV","M","Y90-99","TOTAL","6"
"034001","RESPOP_AV","T","TOTAL","FRGAPO","82"
"034001","RESPOP_AV","T","TOTAL","ITL","1997"
"034001","RESPOP_AV","T","TOTAL","TOTAL","2079"
"034001","RESPOP_AV","T","Y_GE100","ITL","3"
"034001","RESPOP_AV","T","Y_GE100","TOTAL","3"
"034001","RESPOP_AV","T","Y0-9","FRGAPO","4"
"034001","RESPOP_AV","T","Y0-9","ITL","136"
"034001","RESPOP_AV","T","Y0-9","TOTAL","140"
"034001","RESPOP_AV","T","Y10-19","FRGAPO","8"
"034001","RESPOP_AV","T","Y10-19","ITL","133"
"034001","RESPOP_AV","T","Y10-19","TOTAL","141"
"034001","RESPOP_AV","T","Y20-29","FRGAPO","14"
"034001","RESPOP_AV","T","Y20-29","ITL","147"
"034001","RESPOP_AV","T","Y20-29","TOTAL","161"
"034001","RESPOP_AV","T","Y30-39","FRGAPO","18"
"034001","RESPOP_AV","T","Y30-39","ITL","185"
"034001","RESPOP_AV","T","Y30-39","TOTAL","203"
"034001","RESPOP_AV","T","Y40-49","FRGAPO","12"
"034001","RESPOP_AV","T","Y40-49","ITL","249"
"034001","RESPOP_AV","T","Y40-49","TOTAL","261"
"034001","RESPOP_AV","T","Y50-59","FRGAPO","10"
"034001","RESPOP_AV","T","Y50-59","ITL","334"
"034001","RESPOP_AV","T","Y50-59","TOTAL","344"
"034001","RESPOP_AV","T","Y60-69","FRGAPO","10"
"034001","RESPOP_AV","T","Y60-69","ITL","300"
"034001","RESPOP_AV","T","Y60-69","TOTAL","310"
"034001","RESPOP_AV","T","Y70-79","FRGAPO","5"
"034001","RESPOP_AV","T","Y70-79","ITL","288"
"034001","RESPOP_AV","T","Y70-79","TOTAL","293"
"034001","RESPOP_AV","T","Y80-89","ITL","180"
"034001","RESPOP_AV","T","Y80-89","TOTAL","180"
