cod_indicatore,indicatore,sesso,territorio,livello,anno,valore,unita_misura,fonte
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2013,94,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2014,92.8,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2015,92.8,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2016,92.7,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2017,93.6,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2018,93.5,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2019,93.5,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2020,93.6,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2021,91.1,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2022,92.7,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2023,94,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Piacenza,provincia,2013,93.5,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Piacenza,provincia,2014,92.1,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Piacenza,provincia,2015,92.1,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Piacenza,provincia,2016,93.3,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Piacenza,provincia,2017,94.1,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Piacenza,provincia,2018,94.1,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Piacenza,provincia,2019,93.3,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Piacenza,provincia,2020,92.5,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Piacenza,provincia,2021,90.1,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Piacenza,provincia,2022,91.9,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Piacenza,provincia,2023,93.3,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Parma,provincia,2013,91.5,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Parma,provincia,2014,89,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Parma,provincia,2015,89.5,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Parma,provincia,2016,89.3,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Parma,provincia,2017,88.8,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Parma,provincia,2018,89.2,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Parma,provincia,2019,88.8,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Parma,provincia,2020,89.8,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Parma,provincia,2021,86.3,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Parma,provincia,2022,88.3,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Parma,provincia,2023,89.3,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Reggio nell'Emilia,provincia,2013,89.9,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
