anno_inizio,comune,pro_com_t,ordine_scuola,alunni_ritardo,alunni,quota_ritardo
2015,Parma,034027,SCUOLA PRIMARIA,222,8123,0.027329804259510034
2015,Parma,034027,SCUOLA SECONDARIA I GRADO,487,4906,0.09926620464737057
2015,Fidenza,034014,SCUOLA PRIMARIA,23,953,0.024134312696747113
2015,Traversetolo,034042,SCUOLA SECONDARIA II GRADO,13,57,0.22807017543859648
2015,Salsomaggiore Terme,034032,SCUOLA SECONDARIA I GRADO,46,559,0.08228980322003578
2015,Parma,034027,SCUOLA SECONDARIA II GRADO,2703,12477,0.21663861505169513
2015,Busseto,034007,SCUOLA SECONDARIA I GRADO,22,245,0.08979591836734693
2015,Salsomaggiore Terme,034032,SCUOLA PRIMARIA,25,785,0.03184713375796178
2015,Fidenza,034014,SCUOLA SECONDARIA I GRADO,1,63,0.015873015873015872
2016,Parma,034027,SCUOLA PRIMARIA,212,8242,0.025721912157243388
2016,Parma,034027,SCUOLA SECONDARIA II GRADO,2844,12744,0.2231638418079096
2016,Fidenza,034014,SCUOLA PRIMARIA,34,1007,0.033763654419066536
2016,Busseto,034007,SCUOLA SECONDARIA I GRADO,22,246,0.08943089430894309
2016,Salsomaggiore Terme,034032,SCUOLA PRIMARIA,26,800,0.0325
2016,Traversetolo,034042,SCUOLA SECONDARIA II GRADO,12,49,0.24489795918367346
2016,Fidenza,034014,SCUOLA SECONDARIA I GRADO,0,70,0
2016,Parma,034027,SCUOLA SECONDARIA I GRADO,452,5030,0.08986083499005965
2016,Salsomaggiore Terme,034032,SCUOLA SECONDARIA I GRADO,38,572,0.06643356643356643
2017,Parma,034027,SCUOLA SECONDARIA I GRADO,413,5087,0.08118734027914291
2017,Fidenza,034014,SCUOLA PRIMARIA,29,1004,0.02888446215139442
2017,Salsomaggiore Terme,034032,SCUOLA SECONDARIA I GRADO,41,552,0.07427536231884058
2017,Parma,034027,SCUOLA PRIMARIA,238,8325,0.02858858858858859
2017,Fidenza,034014,SCUOLA SECONDARIA I GRADO,1,63,0.015873015873015872
2017,Busseto,034007,SCUOLA SECONDARIA I GRADO,27,262,0.10305343511450382
2017,Salsomaggiore Terme,034032,SCUOLA PRIMARIA,17,814,0.020884520884520884
2017,Traversetolo,034042,SCUOLA SECONDARIA II GRADO,15,53,0.2830188679245283
2017,Parma,034027,SCUOLA SECONDARIA II GRADO,2900,13097,0.22142475376040316
2018,Parma,034027,SCUOLA SECONDARIA I GRADO,389,5243,0.07419416364676712
2018,Salsomaggiore Terme,034032,SCUOLA PRIMARIA,21,802,0.026184538653366583
2018,Traversetolo,034042,SCUOLA SECONDARIA II GRADO,10,47,0.2127659574468085
2018,Fidenza,034014,SCUOLA PRIMARIA,24,1015,0.023645320197044337
2018,Parma,034027,SCUOLA PRIMARIA,227,8274,0.027435339618080735
2018,Fidenza,034014,SCUOLA SECONDARIA I GRADO,2,59,0.03389830508474576
2018,Busseto,034007,SCUOLA SECONDARIA I GRADO,25,275,0.09090909090909091
2018,Parma,034027,SCUOLA SECONDARIA II GRADO,2808,13254,0.21186057039384337
2018,Salsomaggiore Terme,034032,SCUOLA SECONDARIA I GRADO,37,588,0.06292517006802721
2019,Busseto,034007,SCUOLA SECONDARIA I GRADO,23,276,0.08333333333333333
2019,Parma,034027,SCUOLA SECONDARIA I GRADO,372,5322,0.06989853438556934
2019,Parma,034027,SCUOLA PRIMARIA,218,8534,0.025544879306304193
2019,Fidenza,034014,SCUOLA PRIMARIA,25,1048,0.02385496183206107
2019,Fidenza,034014,SCUOLA SECONDARIA I GRADO,2,62,0.03225806451612903
2019,Parma,034027,SCUOLA SECONDARIA II GRADO,2743,13406,0.20460987617484708
2019,Salsomaggiore Terme,034032,SCUOLA SECONDARIA I GRADO,34,572,0.05944055944055944
2019,Traversetolo,034042,SCUOLA SECONDARIA II GRADO,8,35,0.22857142857142856
2019,Salsomaggiore Terme,034032,SCUOLA PRIMARIA,25,808,0.03094059405940594
2020,Traversetolo,034042,SCUOLA SECONDARIA II GRADO,5,36,0.1388888888888889
2020,Parma,034027,SCUOLA SECONDARIA I GRADO,285,5398,0.05279733234531308
2020,Parma,034027,SCUOLA PRIMARIA,212,8346,0.025401389887371197
2020,Fidenza,034014,SCUOLA PRIMARIA,24,1321,0.018168054504163512
2020,Parma,034027,SCUOLA SECONDARIA II GRADO,2310,13747,0.16803666254455518
2020,Salsomaggiore Terme,034032,SCUOLA PRIMARIA,20,806,0.02481389578163772
2020,Salsomaggiore Terme,034032,SCUOLA SECONDARIA I GRADO,25,587,0.04258943781942078
2020,Fidenza,034014,SCUOLA SECONDARIA I GRADO,86,716,0.12011173184357542
2020,Busseto,034007,SCUOLA SECONDARIA I GRADO,14,288,0.04861111111111111
2021,Parma,034027,SCUOLA PRIMARIA,243,8303,0.029266530169818138
2021,Parma,034027,SCUOLA SECONDARIA II GRADO,2480,14059,0.17639945942101146
2021,Traversetolo,034042,SCUOLA SECONDARIA II GRADO,9,42,0.21428571428571427
2021,Parma,034027,SCUOLA SECONDARIA I GRADO,298,5417,0.0550119992615839
2021,Busseto,034007,SCUOLA SECONDARIA I GRADO,18,305,0.05901639344262295
2021,Fidenza,034014,SCUOLA PRIMARIA,21,1326,0.01583710407239819
2021,Salsomaggiore Terme,034032,SCUOLA SECONDARIA I GRADO,24,578,0.04152249134948097
2021,Salsomaggiore Terme,034032,SCUOLA PRIMARIA,17,788,0.021573604060913704
2021,Salsomaggiore Terme,034032,SCUOLA SECONDARIA II GRADO,144,577,0.24956672443674177
2021,Fidenza,034014,SCUOLA SECONDARIA I GRADO,91,748,0.12165775401069519
2022,Parma,034027,SCUOLA SECONDARIA I GRADO,313,5396,0.05800593031875463
2022,Parma,034027,SCUOLA PRIMARIA,241,8258,0.02918382174860741
2022,Salsomaggiore Terme,034032,SCUOLA PRIMARIA,22,808,0.027227722772277228
2022,Parma,034027,SCUOLA SECONDARIA II GRADO,2530,14289,0.17705927636643573
2022,Busseto,034007,SCUOLA SECONDARIA I GRADO,14,305,0.04590163934426229
2022,Fidenza,034014,SCUOLA SECONDARIA I GRADO,97,787,0.12325285895806862
2022,Salsomaggiore Terme,034032,SCUOLA SECONDARIA I GRADO,36,586,0.06143344709897611
2022,Traversetolo,034042,SCUOLA SECONDARIA II GRADO,7,39,0.1794871794871795
2022,Fidenza,034014,SCUOLA PRIMARIA,25,1358,0.018409425625920472
2022,Salsomaggiore Terme,034032,SCUOLA SECONDARIA II GRADO,143,507,0.28205128205128205
2023,Parma,034027,SCUOLA SECONDARIA I GRADO,360,5367,0.06707657909446618
2023,Traversetolo,034042,SCUOLA SECONDARIA II GRADO,10,38,0.2631578947368421
2023,Parma,034027,SCUOLA PRIMARIA,223,8161,0.02732508271045215
2023,Salsomaggiore Terme,034032,SCUOLA SECONDARIA II GRADO,157,522,0.3007662835249042
2023,Fidenza,034014,SCUOLA PRIMARIA,23,1378,0.016690856313497822
2023,Parma,034027,SCUOLA SECONDARIA II GRADO,2745,15288,0.17955259026687598
2023,Salsomaggiore Terme,034032,SCUOLA SECONDARIA I GRADO,43,579,0.07426597582037997
2023,Salsomaggiore Terme,034032,SCUOLA PRIMARIA,20,814,0.02457002457002457
2023,Busseto,034007,SCUOLA SECONDARIA I GRADO,15,290,0.05172413793103448
2023,Fidenza,034014,SCUOLA SECONDARIA I GRADO,99,778,0.12724935732647816
2024,Parma,034027,SCUOLA PRIMARIA,215,7943,0.027067858491753746
2024,Salsomaggiore Terme,034032,SCUOLA PRIMARIA,21,791,0.02654867256637168
2024,Parma,034027,SCUOLA SECONDARIA I GRADO,375,5335,0.07029053420805999
2024,Fidenza,034014,SCUOLA PRIMARIA,25,1387,0.01802451333813987
2024,Parma,034027,SCUOLA SECONDARIA II GRADO,2784,15411,0.18065018493284019
2024,Salsomaggiore Terme,034032,SCUOLA SECONDARIA II GRADO,157,504,0.3115079365079365
2024,Traversetolo,034042,SCUOLA SECONDARIA II GRADO,23,61,0.3770491803278688
2024,Busseto,034007,SCUOLA SECONDARIA I GRADO,21,274,0.07664233576642336
2024,Salsomaggiore Terme,034032,SCUOLA SECONDARIA I GRADO,38,586,0.06484641638225255
2024,Fidenza,034014,SCUOLA SECONDARIA I GRADO,108,740,0.14594594594594595
2015,Polesine Zibello,034050,SCUOLA SECONDARIA I GRADO,5,61,0.08196721311475409
2015,Borgo Val di Taro,034006,SCUOLA PRIMARIA,11,332,0.03313253012048193
2015,Lesignano de' Bagni,034019,SCUOLA PRIMARIA,6,210,0.02857142857142857
2015,Varano de' Melegari,034045,SCUOLA PRIMARIA,1,140,0.007142857142857143
2015,Salsomaggiore Terme,034032,SCUOLA SECONDARIA II GRADO,292,853,0.34232121922626024
2015,Soragna,034036,SCUOLA SECONDARIA I GRADO,14,126,0.1111111111111111
2015,Neviano degli Arduini,034024,SCUOLA PRIMARIA,5,106,0.04716981132075472
2015,Busseto,034007,SCUOLA PRIMARIA,11,269,0.040892193308550186
