anno_inizio,provincia,ordine_scuola,anno_corso,alunni_ritardo,alunni,quota_ritardo
2024,BOLOGNA,SCUOLA SECONDARIA II GRADO,2,1556,8554,0.1819032031797989
2024,RIMINI,SCUOLA PRIMARIA,3,75,2723,0.027543150936467132
2024,BOLOGNA,SCUOLA SECONDARIA II GRADO,1,1732,9682,0.1788886593678992
2024,PIACENZA,SCUOLA SECONDARIA II GRADO,3,566,2485,0.22776659959758552
2024,RIMINI,SCUOLA PRIMARIA,4,83,2878,0.028839471855455177
2024,REGGIO EMILIA,SCUOLA PRIMARIA,2,102,4314,0.02364394993045897
2024,FERRARA,SCUOLA SECONDARIA II GRADO,2,674,3444,0.1957026713124274
2024,BOLOGNA,SCUOLA SECONDARIA II GRADO,4,1372,7436,0.18450779989241528
2024,REGGIO EMILIA,SCUOLA SECONDARIA II GRADO,4,972,4129,0.2354080891256963
2024,FORLI'-CESENA,SCUOLA PRIMARIA,4,85,3271,0.025985937022317333
2024,PARMA,SCUOLA PRIMARIA,4,127,3848,0.033004158004158006
2024,MODENA,SCUOLA SECONDARIA I GRADO,1,332,6540,0.05076452599388379
2024,MODENA,SCUOLA SECONDARIA I GRADO,2,406,6844,0.059322033898305086
2024,PARMA,SCUOLA PRIMARIA,2,70,3638,0.019241341396371632
2024,MODENA,SCUOLA PRIMARIA,5,171,6046,0.02828316242143566
2024,RIMINI,SCUOLA PRIMARIA,1,36,2467,0.014592622618565058
2024,BOLOGNA,SCUOLA SECONDARIA I GRADO,2,539,8829,0.061048816400498356
2024,MODENA,SCUOLA SECONDARIA II GRADO,2,1598,7518,0.2125565309922852
2024,PIACENZA,SCUOLA SECONDARIA II GRADO,2,561,2651,0.21161825726141079
2024,MODENA,SCUOLA PRIMARIA,2,105,5743,0.018283127285390912
2024,REGGIO EMILIA,SCUOLA PRIMARIA,1,70,4117,0.017002671848433324
2024,RIMINI,SCUOLA PRIMARIA,2,54,2575,0.020970873786407766
2024,FERRARA,SCUOLA PRIMARIA,2,79,2263,0.034909412284577994
2024,REGGIO EMILIA,SCUOLA SECONDARIA I GRADO,3,359,5182,0.06927827093786183
2024,RAVENNA,SCUOLA PRIMARIA,3,63,2942,0.02141400407885792
2024,MODENA,SCUOLA SECONDARIA II GRADO,1,1506,8485,0.1774896876841485
2024,PARMA,SCUOLA SECONDARIA I GRADO,1,310,4102,0.07557289127254997
2024,BOLOGNA,SCUOLA SECONDARIA II GRADO,5,1090,7065,0.1542816702052371
2024,PIACENZA,SCUOLA PRIMARIA,3,95,2363,0.040203131612357175
2024,RAVENNA,SCUOLA SECONDARIA I GRADO,3,268,3516,0.07622298065984073
2024,REGGIO EMILIA,SCUOLA SECONDARIA II GRADO,3,1169,4594,0.25446234218545927
2024,PARMA,SCUOLA SECONDARIA I GRADO,3,416,4151,0.10021681522524693
2024,PARMA,SCUOLA SECONDARIA II GRADO,5,590,3334,0.17696460707858427
2024,BOLOGNA,SCUOLA SECONDARIA I GRADO,3,622,8873,0.07010030429392539
2024,MODENA,SCUOLA SECONDARIA I GRADO,3,508,6880,0.07383720930232558
2024,PARMA,SCUOLA PRIMARIA,1,66,3499,0.01886253215204344
2024,BOLOGNA,SCUOLA SECONDARIA I GRADO,1,411,8659,0.04746506525002887
2024,MODENA,SCUOLA SECONDARIA II GRADO,4,1361,6485,0.20986892829606785
2024,FORLI'-CESENA,SCUOLA PRIMARIA,5,106,3382,0.03134240094618569
2024,PARMA,SCUOLA SECONDARIA II GRADO,4,719,3864,0.18607660455486544
2024,RIMINI,SCUOLA SECONDARIA II GRADO,4,519,2881,0.1801457827143353
2024,REGGIO EMILIA,SCUOLA SECONDARIA II GRADO,5,820,3648,0.22478070175438597
2024,RAVENNA,SCUOLA SECONDARIA II GRADO,3,660,3224,0.20471464019851116
2024,FORLI'-CESENA,SCUOLA SECONDARIA I GRADO,1,161,3582,0.044946957007258516
2024,RIMINI,SCUOLA PRIMARIA,5,75,2978,0.025184687709872398
2024,RAVENNA,SCUOLA PRIMARIA,1,18,2873,0.006265227984684998
2024,MODENA,SCUOLA PRIMARIA,3,132,5948,0.02219233355749832
2024,PARMA,SCUOLA PRIMARIA,5,152,3926,0.03871625063678044
2024,PIACENZA,SCUOLA PRIMARIA,2,58,2191,0.02647193062528526
2024,BOLOGNA,SCUOLA PRIMARIA,1,111,7634,0.014540214828399267
2024,REGGIO EMILIA,SCUOLA SECONDARIA II GRADO,2,1139,4873,0.23373691770982968
2024,FORLI'-CESENA,SCUOLA PRIMARIA,2,58,3089,0.01877630301068307
2024,MODENA,SCUOLA SECONDARIA II GRADO,5,1053,5906,0.17829326109041652
2024,PARMA,SCUOLA PRIMARIA,3,119,3847,0.030933194697166624
2024,PIACENZA,SCUOLA SECONDARIA I GRADO,1,191,2565,0.07446393762183236
2024,REGGIO EMILIA,SCUOLA PRIMARIA,3,134,4462,0.03003137606454505
2024,BOLOGNA,SCUOLA PRIMARIA,4,230,8275,0.027794561933534745
2024,RAVENNA,SCUOLA SECONDARIA I GRADO,1,163,3317,0.049140789870364784
2024,RIMINI,SCUOLA SECONDARIA II GRADO,3,578,3163,0.18273790705026874
2024,REGGIO EMILIA,SCUOLA SECONDARIA I GRADO,2,346,5201,0.06652566814074216
2024,FERRARA,SCUOLA SECONDARIA II GRADO,1,731,3685,0.1983717774762551
2024,MODENA,SCUOLA PRIMARIA,1,71,5513,0.01287865046254308
