anno_inizio,provincia,ordine_scuola,alunni_ritardo,alunni,quota_ritardo
2015,PARMA,SCUOLA PRIMARIA,545,19251,0.028310217651031117
2015,FERRARA,SCUOLA SECONDARIA I GRADO,775,7003,0.11066685706125946
2015,BOLOGNA,SCUOLA SECONDARIA I GRADO,2177,25769,0.08448135356436028
2015,REGGIO EMILIA,SCUOLA PRIMARIA,830,26760,0.03101644245142003
2015,PARMA,SCUOLA SECONDARIA I GRADO,1114,10863,0.10254994016385897
2015,RIMINI,SCUOLA SECONDARIA II GRADO,2623,12866,0.2038706668739313
2015,BOLOGNA,SCUOLA SECONDARIA II GRADO,7218,31717,0.22757511744490336
2015,BOLOGNA,SCUOLA PRIMARIA,1316,41682,0.03157238136365818
2015,RAVENNA,SCUOLA PRIMARIA,456,17395,0.02621442943374533
2015,MODENA,SCUOLA PRIMARIA,857,26542,0.032288448496722175
2015,FORLI'-CESENA,SCUOLA SECONDARIA I GRADO,509,7641,0.06661431749770973
2015,REGGIO EMILIA,SCUOLA SECONDARIA I GRADO,1449,15747,0.0920175271480282
2015,RIMINI,SCUOLA PRIMARIA,386,14865,0.02596703666330306
2015,PIACENZA,SCUOLA PRIMARIA,455,12223,0.037224903869753745
2015,RAVENNA,SCUOLA SECONDARIA I GRADO,980,10303,0.09511792681743182
2015,PIACENZA,SCUOLA SECONDARIA II GRADO,2648,11156,0.2373610613122983
2015,FORLI'-CESENA,SCUOLA PRIMARIA,297,13091,0.022687342449010772
2015,FERRARA,SCUOLA PRIMARIA,387,11763,0.03289977046671767
2015,REGGIO EMILIA,SCUOLA SECONDARIA II GRADO,5680,20633,0.2752871613434789
2015,MODENA,SCUOLA SECONDARIA II GRADO,8047,30672,0.2623565466875326
2015,RIMINI,SCUOLA SECONDARIA I GRADO,579,8682,0.06668970283344851
2015,RAVENNA,SCUOLA SECONDARIA II GRADO,3050,13530,0.2254249815225425
2015,PARMA,SCUOLA SECONDARIA II GRADO,3780,16966,0.22279853825297655
2015,MODENA,SCUOLA SECONDARIA I GRADO,1606,15089,0.10643515143482007
2015,PIACENZA,SCUOLA SECONDARIA I GRADO,709,7280,0.09739010989010989
2015,FORLI'-CESENA,SCUOLA SECONDARIA II GRADO,2678,14994,0.1786047752434307
2016,REGGIO EMILIA,SCUOLA PRIMARIA,828,26805,0.03088975937325126
2016,BOLOGNA,SCUOLA SECONDARIA II GRADO,7187,32687,0.21987334414293144
2016,REGGIO EMILIA,SCUOLA SECONDARIA II GRADO,5616,20931,0.2683101619607281
2016,RIMINI,SCUOLA PRIMARIA,424,15032,0.028206492815327302
2016,RAVENNA,SCUOLA PRIMARIA,458,17479,0.02620287201784999
2016,MODENA,SCUOLA SECONDARIA I GRADO,1794,19581,0.09161942699555692
2016,MODENA,SCUOLA SECONDARIA II GRADO,8155,31931,0.25539444427045815
2016,BOLOGNA,SCUOLA PRIMARIA,1286,42648,0.030153817295066592
2016,PARMA,SCUOLA PRIMARIA,559,19567,0.028568508202585986
2016,BOLOGNA,SCUOLA SECONDARIA I GRADO,2042,26110,0.07820758330141708
2016,PIACENZA,SCUOLA SECONDARIA II GRADO,2532,11181,0.22645559431177892
2016,RIMINI,SCUOLA SECONDARIA II GRADO,2851,13988,0.20381755790677725
2016,PARMA,SCUOLA SECONDARIA II GRADO,3854,17193,0.22416099575408596
2016,RAVENNA,SCUOLA SECONDARIA II GRADO,3099,13906,0.22285344455630662
2016,FERRARA,SCUOLA SECONDARIA I GRADO,830,7784,0.1066289825282631
2016,MODENA,SCUOLA PRIMARIA,1050,33603,0.031247210070529417
2016,FORLI'-CESENA,SCUOLA PRIMARIA,419,18302,0.022893672822642333
2016,FORLI'-CESENA,SCUOLA SECONDARIA I GRADO,822,10951,0.07506163820655648
2016,PIACENZA,SCUOLA PRIMARIA,452,12240,0.0369281045751634
2016,RAVENNA,SCUOLA SECONDARIA I GRADO,895,10345,0.08651522474625423
2016,RIMINI,SCUOLA SECONDARIA I GRADO,554,8791,0.06301899670117166
2016,PARMA,SCUOLA SECONDARIA I GRADO,1068,11152,0.09576757532281205
2016,FERRARA,SCUOLA PRIMARIA,408,12639,0.03228103489200095
2016,PIACENZA,SCUOLA SECONDARIA I GRADO,703,7367,0.09542554635536854
2016,FORLI'-CESENA,SCUOLA SECONDARIA II GRADO,2607,15369,0.16962717157915283
2016,REGGIO EMILIA,SCUOLA SECONDARIA I GRADO,1289,15689,0.08215947479125502
2017,REGGIO EMILIA,SCUOLA SECONDARIA II GRADO,5473,20874,0.2621922008239916
2017,RIMINI,SCUOLA SECONDARIA I GRADO,511,8893,0.05746092432250084
2017,FERRARA,SCUOLA PRIMARIA,406,12623,0.032163511051255644
2017,RAVENNA,SCUOLA PRIMARIA,473,17315,0.02731735489460006
2017,BOLOGNA,SCUOLA SECONDARIA II GRADO,7009,33784,0.20746507222353777
2017,REGGIO EMILIA,SCUOLA PRIMARIA,807,26630,0.03030416823131806
2017,PARMA,SCUOLA SECONDARIA I GRADO,989,11328,0.08730579096045198
2017,PIACENZA,SCUOLA SECONDARIA II GRADO,2563,11325,0.22631346578366446
2017,BOLOGNA,SCUOLA PRIMARIA,1238,43226,0.028640170267894324
2017,FORLI'-CESENA,SCUOLA SECONDARIA I GRADO,772,11109,0.06949320370870465
2017,RIMINI,SCUOLA SECONDARIA II GRADO,2828,14140,0.2
2017,RIMINI,SCUOLA PRIMARIA,387,14865,0.0260343087790111
2017,PARMA,SCUOLA PRIMARIA,557,19583,0.02844303732829495
2017,BOLOGNA,SCUOLA SECONDARIA I GRADO,1921,26784,0.07172192353643966
2017,MODENA,SCUOLA SECONDARIA II GRADO,8059,32521,0.2478091079610098
2017,RAVENNA,SCUOLA SECONDARIA I GRADO,853,10521,0.08107594335139245
2017,REGGIO EMILIA,SCUOLA SECONDARIA I GRADO,1273,15827,0.08043217286914765
2017,FORLI'-CESENA,SCUOLA PRIMARIA,391,18214,0.021467003403974963
2017,RAVENNA,SCUOLA SECONDARIA II GRADO,3025,14214,0.21281834810749964
2017,MODENA,SCUOLA SECONDARIA I GRADO,1742,19940,0.08736208625877633
2017,FORLI'-CESENA,SCUOLA SECONDARIA II GRADO,3195,17608,0.1814516129032258
2017,PIACENZA,SCUOLA PRIMARIA,460,12129,0.037925632780938245
2017,FERRARA,SCUOLA SECONDARIA I GRADO,726,7774,0.09338821713403653
2017,PARMA,SCUOLA SECONDARIA II GRADO,4037,17922,0.22525387791541124
2017,PIACENZA,SCUOLA SECONDARIA I GRADO,659,7391,0.08916249492626167
2017,MODENA,SCUOLA PRIMARIA,941,32060,0.029351216469120398
2018,BOLOGNA,SCUOLA SECONDARIA II GRADO,7590,36484,0.20803639951759675
2018,REGGIO EMILIA,SCUOLA SECONDARIA II GRADO,5372,21149,0.254007281668164
2018,FERRARA,SCUOLA PRIMARIA,398,12555,0.0317005177220231
2018,RIMINI,SCUOLA PRIMARIA,361,14776,0.024431510557661074
2018,PARMA,SCUOLA SECONDARIA I GRADO,956,11656,0.08201784488675361
2018,FERRARA,SCUOLA SECONDARIA I GRADO,729,7823,0.09318675699859388
2018,MODENA,SCUOLA SECONDARIA II GRADO,7981,33528,0.2380398472918158
2018,MODENA,SCUOLA PRIMARIA,873,33455,0.026094754147362127
2018,RIMINI,SCUOLA SECONDARIA II GRADO,2794,14244,0.19615276607694468
2018,RAVENNA,SCUOLA SECONDARIA I GRADO,858,10740,0.07988826815642458
2018,BOLOGNA,SCUOLA SECONDARIA I GRADO,1945,27223,0.07144693825074386
2018,PARMA,SCUOLA PRIMARIA,563,19489,0.028888090717840834
2018,MODENA,SCUOLA SECONDARIA I GRADO,1689,20249,0.08341152649513556
2018,PIACENZA,SCUOLA PRIMARIA,451,12131,0.03717747918555766
2018,REGGIO EMILIA,SCUOLA PRIMARIA,738,26234,0.028131432492185714
2018,FORLI'-CESENA,SCUOLA PRIMARIA,402,18041,0.02228257857103265
2018,BOLOGNA,SCUOLA PRIMARIA,1151,42989,0.026774291097722672
2018,PARMA,SCUOLA SECONDARIA II GRADO,3946,18174,0.21712336304610982
2018,PIACENZA,SCUOLA SECONDARIA II GRADO,2508,11403,0.21994212049460668
2018,RAVENNA,SCUOLA PRIMARIA,457,17149,0.026648784185666803
2018,FORLI'-CESENA,SCUOLA SECONDARIA II GRADO,3222,17918,0.17981917624734903
2018,REGGIO EMILIA,SCUOLA SECONDARIA I GRADO,1192,15927,0.07484146418032273
2018,RIMINI,SCUOLA SECONDARIA I GRADO,508,9110,0.0557628979143798
2018,RAVENNA,SCUOLA SECONDARIA II GRADO,3039,14411,0.21088057733675664
2018,PIACENZA,SCUOLA SECONDARIA I GRADO,681,7445,0.09147078576225655
2018,FORLI'-CESENA,SCUOLA SECONDARIA I GRADO,716,11215,0.06384306732055284
2018,FERRARA,SCUOLA SECONDARIA II GRADO,2911,14228,0.20459657014337926
2019,MODENA,SCUOLA SECONDARIA I GRADO,1553,20676,0.07511124008512285
2019,PARMA,SCUOLA SECONDARIA I GRADO,921,11848,0.07773463875759622
2019,BOLOGNA,SCUOLA SECONDARIA II GRADO,7518,37123,0.20251596045578213
2019,MODENA,SCUOLA PRIMARIA,825,32772,0.025173928963749544
2019,MODENA,SCUOLA SECONDARIA II GRADO,7918,33980,0.23301942319011182
2019,PARMA,SCUOLA PRIMARIA,549,19598,0.028013062557403816
2019,RAVENNA,SCUOLA PRIMARIA,452,16730,0.02701733413030484
2019,FERRARA,SCUOLA SECONDARIA I GRADO,760,8427,0.09018630592144299
2019,BOLOGNA,SCUOLA PRIMARIA,1091,42470,0.025688721450435603
2019,REGGIO EMILIA,SCUOLA PRIMARIA,679,25723,0.026396610037709444
2019,FORLI'-CESENA,SCUOLA PRIMARIA,387,17804,0.021736688384632667
