anno_inizio,provincia,grado,alunni,alunni_disab,quota_disab,tipo_dato
2016,Bologna,Infanzia,12870,239,0.01857031857031857,definitivo
2016,Bologna,Primaria,41940,1352,0.03223652837386743,definitivo
2016,Bologna,Secondaria I grado,24520,985,0.040171288743882545,definitivo
2016,Bologna,Secondaria II grado,37841,1024,0.027060595650220662,definitivo
2016,Emilia-Romagna,Infanzia,54495,978,0.017946600605560144,definitivo
2016,Emilia-Romagna,Primaria,192202,5999,0.031211954089967846,definitivo
2016,Emilia-Romagna,Secondaria I grado,114831,4202,0.03659290609678571,definitivo
2016,Emilia-Romagna,Secondaria II grado,187020,4859,0.02598117848358464,definitivo
2016,Ferrara,Infanzia,2940,71,0.02414965986394558,definitivo
2016,Ferrara,Primaria,13248,473,0.035703502415458936,definitivo
2016,Ferrara,Secondaria I grado,8119,368,0.0453257790368272,definitivo
2016,Ferrara,Secondaria II grado,14788,444,0.030024344062753585,definitivo
2016,Forlì-Cesena,Infanzia,6407,92,0.014359294521616982,definitivo
2016,Forlì-Cesena,Primaria,17517,435,0.024833019352628875,definitivo
2016,Forlì-Cesena,Secondaria I grado,10662,265,0.024854623897955355,definitivo
2016,Forlì-Cesena,Secondaria II grado,17960,278,0.015478841870824054,definitivo
2016,Modena,Infanzia,10303,195,0.018926526254488985,definitivo
2016,Modena,Primaria,32109,1114,0.034694322464106635,definitivo
2016,Modena,Secondaria I grado,19334,650,0.03361953036102203,definitivo
2016,Modena,Secondaria II grado,33376,918,0.027504793863854266,definitivo
2016,Parma,Infanzia,4607,76,0.01649663555459084,definitivo
2016,Parma,Primaria,18762,519,0.027662296130476494,definitivo
2016,Parma,Secondaria I grado,10860,392,0.03609576427255985,definitivo
2016,Parma,Secondaria II grado,19267,531,0.027560076815280013,definitivo
2016,Piacenza,Infanzia,4410,83,0.018820861678004536,definitivo
2016,Piacenza,Primaria,12004,336,0.027990669776741087,definitivo
2016,Piacenza,Secondaria I grado,7331,216,0.029463920338289457,definitivo
2016,Piacenza,Secondaria II grado,11782,315,0.02673569852317094,definitivo
2016,Ravenna,Infanzia,4625,77,0.016648648648648647,definitivo
2016,Ravenna,Primaria,16486,477,0.0289336406648065,definitivo
2016,Ravenna,Secondaria I grado,9871,362,0.036673082767703376,definitivo
2016,Ravenna,Secondaria II grado,15198,370,0.024345308593235953,definitivo
2016,Reggio Emilia,Infanzia,4143,67,0.016171856142891624,definitivo
2016,Reggio Emilia,Primaria,25520,869,0.03405172413793103,definitivo
2016,Reggio Emilia,Secondaria I grado,15268,677,0.04434110558029866,definitivo
2016,Reggio Emilia,Secondaria II grado,22218,625,0.028130344765505445,definitivo
2016,Rimini,Infanzia,4190,78,0.018615751789976133,definitivo
2016,Rimini,Primaria,14616,424,0.029009304871373837,definitivo
2016,Rimini,Secondaria I grado,8866,287,0.03237085495150011,definitivo
2016,Rimini,Secondaria II grado,14590,354,0.024263193968471555,definitivo
2017,Bologna,Infanzia,12464,204,0.016367137355584083,provvisorio
2017,Bologna,Primaria,41550,1312,0.03157641395908544,provvisorio
2017,Bologna,Secondaria I grado,24868,973,0.03912658838668168,provvisorio
2017,Bologna,Secondaria II grado,38354,1135,0.02959274130468791,provvisorio
2017,Emilia-Romagna,Infanzia,52946,932,0.017602840630075927,provvisorio
2017,Emilia-Romagna,Primaria,190796,6050,0.031709260152204446,provvisorio
2017,Emilia-Romagna,Secondaria I grado,115995,4273,0.03683779473253158,provvisorio
2017,Emilia-Romagna,Secondaria II grado,189122,5289,0.027966074808853544,provvisorio
2017,Ferrara,Infanzia,2859,70,0.02448408534452606,provvisorio
2017,Ferrara,Primaria,13093,466,0.035591537462766366,provvisorio
2017,Ferrara,Secondaria I grado,8140,382,0.04692874692874693,provvisorio
2017,Ferrara,Secondaria II grado,14712,484,0.03289831430125068,provvisorio
2017,Forlì-Cesena,Infanzia,6214,89,0.014322497586095913,provvisorio
2017,Forlì-Cesena,Primaria,17486,435,0.024877044492737047,provvisorio
2017,Forlì-Cesena,Secondaria I grado,10801,282,0.026108693639477827,provvisorio
2017,Forlì-Cesena,Secondaria II grado,18105,319,0.017619442143054404,provvisorio
2017,Modena,Infanzia,9996,175,0.01750700280112045,provvisorio
2017,Modena,Primaria,31983,1067,0.03336147328268142,provvisorio
2017,Modena,Secondaria I grado,19500,689,0.035333333333333335,provvisorio
2017,Modena,Secondaria II grado,34027,917,0.02694918740999794,provvisorio
2017,Parma,Infanzia,4565,85,0.018619934282584884,provvisorio
2017,Parma,Primaria,18761,558,0.029742551036725122,provvisorio
2017,Parma,Secondaria I grado,11003,362,0.032900118149595564,provvisorio
2017,Parma,Secondaria II grado,19819,524,0.02643927544275695,provvisorio
2017,Piacenza,Infanzia,4418,84,0.019013128112267994,provvisorio
2017,Piacenza,Primaria,11878,341,0.028708536790705504,provvisorio
2017,Piacenza,Secondaria I grado,7306,243,0.03326033397207775,provvisorio
2017,Piacenza,Secondaria II grado,12005,314,0.026155768429820907,provvisorio
2017,Ravenna,Infanzia,4427,82,0.018522701603794895,provvisorio
2017,Ravenna,Primaria,16307,512,0.03139755933034893,provvisorio
2017,Ravenna,Secondaria I grado,10005,342,0.034182908545727135,provvisorio
2017,Ravenna,Secondaria II grado,15541,408,0.02625313686377968,provvisorio
2017,Reggio Emilia,Infanzia,3939,69,0.017517136329017517,provvisorio
2017,Reggio Emilia,Primaria,25210,894,0.03546211820706069,provvisorio
2017,Reggio Emilia,Secondaria I grado,15377,694,0.045132340508551735,provvisorio
2017,Reggio Emilia,Secondaria II grado,21756,815,0.037460930318073175,provvisorio
2017,Rimini,Infanzia,4064,74,0.018208661417322834,provvisorio
2017,Rimini,Primaria,14528,465,0.03200715859030837,provvisorio
2017,Rimini,Secondaria I grado,8995,306,0.03401889938854919,provvisorio
2017,Rimini,Secondaria II grado,14803,373,0.02519759508207796,provvisorio
2020,Bologna,Infanzia,11805,243,0.020584498094027955,provvisorio
2020,Bologna,Primaria,39996,1521,0.03802880288028803,provvisorio
2020,Bologna,Secondaria I grado,25503,1051,0.04121083794063444,provvisorio
2020,Bologna,Secondaria II grado,39653,1333,0.03361662421506569,provvisorio
2020,Emilia-Romagna,Infanzia,49189,1148,0.023338551302120394,provvisorio
2020,Emilia-Romagna,Primaria,181562,7255,0.0399588019519503,provvisorio
2020,Emilia-Romagna,Secondaria I grado,119553,4817,0.04029175344826144,provvisorio
2020,Emilia-Romagna,Secondaria II grado,196883,6250,0.03174474180096809,provvisorio
2020,Ferrara,Infanzia,2752,69,0.02507267441860465,provvisorio
2020,Ferrara,Primaria,12112,576,0.047556142668428,provvisorio
2020,Ferrara,Secondaria I grado,8209,421,0.05128517480813741,provvisorio
2020,Ferrara,Secondaria II grado,15494,602,0.03885374983864722,provvisorio
2020,Forlì-Cesena,Infanzia,5631,106,0.01882436512164802,provvisorio
2020,Forlì-Cesena,Primaria,16769,511,0.030472896416005726,provvisorio
2020,Forlì-Cesena,Secondaria I grado,10951,347,0.03168660396310839,provvisorio
2020,Forlì-Cesena,Secondaria II grado,19350,380,0.019638242894056846,provvisorio
2020,Modena,Infanzia,9100,249,0.027362637362637363,provvisorio
2020,Modena,Primaria,30194,1383,0.045803802079883424,provvisorio
2020,Modena,Secondaria I grado,20167,857,0.042495165369167455,provvisorio
2020,Modena,Secondaria II grado,35330,1113,0.03150297197848854,provvisorio
2020,Parma,Infanzia,4324,100,0.02312673450508788,provvisorio
2020,Parma,Primaria,18281,571,0.031234615174224604,provvisorio
2020,Parma,Secondaria I grado,11587,455,0.03926814533528955,provvisorio
2020,Parma,Secondaria II grado,20426,596,0.02917849799275433,provvisorio
2020,Piacenza,Infanzia,4202,109,0.025940028557829606,provvisorio
2020,Piacenza,Primaria,11654,462,0.03964304101596019,provvisorio
2020,Piacenza,Secondaria I grado,7469,264,0.035346097201767304,provvisorio
2020,Piacenza,Secondaria II grado,12317,379,0.030770479824632622,provvisorio
2020,Ravenna,Infanzia,4185,108,0.025806451612903226,provvisorio
2020,Ravenna,Primaria,15308,626,0.040893650378886856,provvisorio
2020,Ravenna,Secondaria I grado,10564,400,0.03786444528587656,provvisorio
