anno_inizio,ordine_scuola,quota_disab,tipo_dato
2014,Scuola dell'infanzia,0.013000000000000001,definitivo
2014,Scuola primaria,0.03,definitivo
2014,Scuola secondaria di I grado,0.038,definitivo
2014,Scuola secondaria di II grado,0.021,definitivo
2014,Tutti gli ordini,0.026000000000000002,definitivo
2015,Scuola dell'infanzia,0.013999999999999999,definitivo
2015,Scuola primaria,0.031,definitivo
2015,Scuola secondaria di I grado,0.038,definitivo
2015,Scuola secondaria di II grado,0.022000000000000002,definitivo
2015,Tutti gli ordini,0.027000000000000003,definitivo
2016,Scuola dell'infanzia,0.015,definitivo
2016,Scuola primaria,0.032,definitivo
2016,Scuola secondaria di I grado,0.039,definitivo
2016,Scuola secondaria di II grado,0.023,definitivo
2016,Tutti gli ordini,0.027999999999999997,definitivo
2017,Scuola dell'infanzia,0.019,definitivo
2017,Scuola primaria,0.033,definitivo
2017,Scuola secondaria di I grado,0.04,definitivo
2017,Scuola secondaria di II grado,0.025,definitivo
2017,Tutti gli ordini,0.028999999999999998,definitivo
2018,Scuola dell'infanzia,0.021,definitivo
2018,Scuola primaria,0.035,definitivo
2018,Scuola secondaria di I grado,0.040999999999999995,definitivo
2018,Scuola secondaria di II grado,0.026000000000000002,definitivo
2018,Tutti gli ordini,0.031,definitivo
2019,Scuola dell'infanzia,0.024,definitivo
2019,Scuola primaria,0.038,definitivo
2019,Scuola secondaria di I grado,0.042,definitivo
2019,Scuola secondaria di II grado,0.027000000000000003,definitivo
2019,Tutti gli ordini,0.033,definitivo
2020,Scuola dell'infanzia,0.026000000000000002,definitivo
2020,Scuola primaria,0.042,definitivo
2020,Scuola secondaria di I grado,0.044000000000000004,definitivo
2020,Scuola secondaria di II grado,0.028999999999999998,definitivo
2020,Tutti gli ordini,0.035,definitivo
2021,Scuola dell'infanzia,0.025,definitivo
2021,Scuola primaria,0.048,definitivo
2021,Scuola secondaria di I grado,0.047,definitivo
2021,Scuola secondaria di II grado,0.031,definitivo
2021,Tutti gli ordini,0.038,definitivo
2022,Scuola dell'infanzia,0.028999999999999998,definitivo
2022,Scuola primaria,0.051,definitivo
2022,Scuola secondaria di I grado,0.05,definitivo
2022,Scuola secondaria di II grado,0.033,definitivo
2022,Tutti gli ordini,0.040999999999999995,definitivo
2023,Scuola dell'infanzia,0.032,definitivo
2023,Scuola primaria,0.055,definitivo
2023,Scuola secondaria di I grado,0.055,definitivo
2023,Scuola secondaria di II grado,0.035,definitivo
2023,Tutti gli ordini,0.043,definitivo
2024,Scuola dell'infanzia,0.034,provvisorio
2024,Scuola primaria,0.059000000000000004,provvisorio
2024,Scuola secondaria di I grado,0.06,provvisorio
2024,Scuola secondaria di II grado,0.037000000000000005,provvisorio
2024,Tutti gli ordini,0.048,provvisorio
