anno_inizio,provincia,alunni,alunni_disab,quota_disab,tipo_dato
2016,Bologna,117171,3600,0.0307243259850987,definitivo
2016,Emilia-Romagna,548548,16038,0.029237186171492742,definitivo
2016,Ferrara,39095,1356,0.03468474229441105,definitivo
2016,Forlì-Cesena,52546,1070,0.020363110417538917,definitivo
2016,Modena,95122,2877,0.03024536910493892,definitivo
2016,Parma,53496,1518,0.028375953342305967,definitivo
2016,Piacenza,35527,950,0.02674022574380049,definitivo
2016,Ravenna,46180,1286,0.027847553053269813,definitivo
2016,Reggio Emilia,67149,2238,0.03332886565697181,definitivo
2016,Rimini,42262,1143,0.027045572855047086,definitivo
2017,Bologna,117256,3735,0.03185338063723818,definitivo
2017,Emilia-Romagna,549023,16799,0.030597989519564755,definitivo
2017,Ferrara,38826,1426,0.03672796579611601,definitivo
2017,Forlì-Cesena,52606,1169,0.022221799794700223,definitivo
2017,Modena,95484,2848,0.029826986720288214,definitivo
2017,Parma,54179,1592,0.02938407870208014,definitivo
2017,Piacenza,35629,1004,0.02817929214965337,definitivo
2017,Ravenna,46317,1341,0.028952652373858412,definitivo
2017,Reggio Emilia,66346,2472,0.03725921683296657,definitivo
2017,Rimini,42380,1212,0.028598395469561114,definitivo
2018,Bologna,117738,3754,0.0318843533948258,provvisorio
2018,Emilia-Romagna,549148,17530,0.03192217762788902,provvisorio
2018,Ferrara,38826,1478,0.03806727450677381,provvisorio
2018,Forlì-Cesena,52448,1237,0.023585265405735203,provvisorio
2018,Modena,95526,3069,0.03212737893348408,provvisorio
2018,Parma,54360,1642,0.030206033848417954,provvisorio
2018,Piacenza,35578,1071,0.03010287256169543,provvisorio
2018,Ravenna,46361,1426,0.030758611764198356,provvisorio
2018,Reggio Emilia,66155,2544,0.03845514322424609,provvisorio
2018,Rimini,42156,1309,0.031051333143562006,provvisorio
2019,Bologna,117590,4083,0.0347223403350625,definitivo
2019,Emilia-Romagna,548606,18981,0.034598600817344324,definitivo
2019,Ferrara,38767,1606,0.04142698687027627,definitivo
2019,Forlì-Cesena,52442,1304,0.02486556576789596,definitivo
2019,Modena,95313,3498,0.0367001353435523,definitivo
2019,Parma,54651,1733,0.03171030722219172,definitivo
2019,Piacenza,35705,1139,0.03190029407645988,definitivo
2019,Ravenna,46143,1552,0.0336345707908025,definitivo
2019,Reggio Emilia,65861,2674,0.0406006589635748,definitivo
2019,Rimini,42134,1392,0.033037451939051596,definitivo
2020,Bologna,116957,4148,0.035466025975358466,definitivo
2020,Emilia-Romagna,547152,19528,0.035690265227943975,definitivo
2020,Ferrara,38567,1668,0.04324941011745793,definitivo
2020,Forlì-Cesena,52701,1402,0.026602910760706627,definitivo
2020,Modena,94791,3602,0.037999388127564857,definitivo
2020,Parma,54618,1722,0.031528067669998903,definitivo
2020,Piacenza,35642,1214,0.03406093934122664,definitivo
2020,Ravenna,46383,1672,0.03604768988638079,definitivo
2020,Reggio Emilia,65519,2682,0.04093469070040751,definitivo
2020,Rimini,41974,1418,0.03378281793491209,definitivo
2021,Bologna,116503,4151,0.03562998377724179,definitivo
2021,Emilia-Romagna,545285,20113,0.036885298513621316,definitivo
2021,Ferrara,38397,1734,0.04515977810766466,definitivo
2021,Forlì-Cesena,52380,1477,0.02819778541428026,definitivo
2021,Modena,94287,3554,0.03769342539268404,definitivo
2021,Parma,54869,1846,0.03364376970602708,definitivo
2021,Piacenza,35804,1283,0.03583398502960563,definitivo
2021,Ravenna,46255,1765,0.03815803696897633,definitivo
2021,Reggio Emilia,64893,2744,0.04228499221795879,definitivo
2021,Rimini,41897,1559,0.037210301453564694,definitivo
2022,Bologna,115552,4138,0.03581071725283855,provvisorio
2022,Emilia-Romagna,540494,20588,0.038091079641957175,provvisorio
2022,Ferrara,38462,1752,0.045551453382559406,provvisorio
2022,Forlì-Cesena,51997,1487,0.028597803719445352,provvisorio
2022,Modena,93531,3721,0.03978360115897403,provvisorio
2022,Parma,54700,1848,0.033784277879341865,provvisorio
2022,Piacenza,35397,1295,0.0365850213294912,provvisorio
2022,Ravenna,45923,1857,0.04043725366374148,provvisorio
2022,Reggio Emilia,63554,2782,0.043773798659407746,provvisorio
2022,Rimini,41378,1708,0.04127797380250375,provvisorio
2023,Bologna,114086,4331,0.03796258962537034,definitivo
2023,Emilia-Romagna,535918,22351,0.041706007262305056,definitivo
2023,Ferrara,38232,1922,0.050272023435865246,definitivo
2023,Forlì-Cesena,51792,1683,0.03249536607970343,definitivo
2023,Modena,92571,3978,0.04297242116861652,definitivo
2023,Parma,54686,2093,0.038273049775079546,definitivo
2023,Piacenza,35716,1531,0.04286594243476313,definitivo
2023,Ravenna,45272,2024,0.044707545502739,definitivo
2023,Reggio Emilia,62590,2949,0.047116152740054325,definitivo
2023,Rimini,40973,1840,0.04490762209259756,definitivo
2024,Bologna,113087,4471,0.039535932512136676,provvisorio
2024,Emilia-Romagna,531037,23356,0.04398186943659293,provvisorio
2024,Ferrara,38190,2004,0.052474469756480756,provvisorio
2024,Forlì-Cesena,51199,1767,0.034512392820172266,provvisorio
2024,Modena,91849,4214,0.045879650295593856,provvisorio
2024,Parma,54352,2147,0.039501766264350896,provvisorio
2024,Piacenza,35626,1581,0.044377701678549375,provvisorio
2024,Ravenna,44874,2213,0.04931586219191514,provvisorio
2024,Reggio Emilia,61755,3097,0.050149785442474296,provvisorio
2024,Rimini,40105,1862,0.046428126168806885,provvisorio
